Whichofthefollowingsocialmediaplatformsdoyouregularlyuse,Whichdevicedoyoucommonlyusewhenaccessingsocialmediaplatforms,HowlonghaveyoubeenonFacebook,HowlonghaveyoubeenonInstagram,HowmanydaysperweekdoyouaccessFacebook,HowmanydaysperweekdoyouaccessInstagram,HowmuchtimeperdaydoyouspendonFacebook,HowmuchtimeperdaydoyouspendonInstagram,HowmanyfriendsdoyouhaveonFacebook,HowmanyfollowersdoyouhaveonInstagram,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M12B,M14,M15,M16,M16B,M18,M19,M20,M21,M22,M22B,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,C1,C2,C3,C4,C5,C6,C7,CON1,CON2,CON3,CON4,CON5,IMP1,IMP2,IMP3,IMP4,IMP5,Whatisyourage,Age3Groups,Gender,WhatisyourestimatedmonthlyincomeInUSD,Whatisyourhighesteducationlevelachieved,Whatisyourcurrentemploymentstatus,Whatsyourmaritalstatus,Pos,Non,Env,View,SMEngagement,CreationSMContent,SMADV,SMBGC,SMUGC,Firstmatfactor,Secondmatfactor,Thirdmatfactor,Fourthmatfactor,Fifthmatfactor,Att1,Att2,Att3,Att4,Att5,Att6,Att7,SMI1,SMI2,SMI3,SMI4,SMI5,SMI6,SMI7,csummatedscale,consummatedscale,impsummatedscale,matsummated,smisummated,SMCSummated
Facebook,Smartphones,5,5,5,5,5,4,5,5,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,3,3,3,2,1,1,1,2,3,3,3,1,3,1,2,2,2,3,2,2,3,2,3,1,1,2,3,2,3,1,1,2,1,2,2,1,2,1,1,3,2,2,1,1,1,2,3,1,3,1,1,2,3,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,3,6,3,Male,0,2,Student,Never married,1.44,1.29,1.71,2.00,1.54,2.12,1.44,1.70,2.10,1.80,1.00,1.00,2.00,1.60,1.60,1.25,1.40,2.00,2.25,2.00,2.00,2.40,1.80,2.00,1.60,1.80,1.40,2.00,1.43,1.40,1.60,1.48,1.80,1.76
Whatsapp,Smartphones,5,5,5,5,5,5,5,5,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,3,1,3,1,1,3,3,2,1,3,1,2,3,1,2,1,2,1,1,1,2,3,1,3,2,1,2,2,3,1,1,2,1,3,2,1,3,2,2,3,1,3,3,3,3,2,3,2,1,1,2,1,2,2,2,2,3,1,1,1,2,1,1,2,2,1,1,2,1,1,1,3,3,2,7,3,Male,5,4,Self-employed,Never married,1.56,1.57,1.57,1.71,2.23,1.94,1.56,1.90,1.70,1.40,1.60,1.75,1.50,1.60,1.40,1.75,1.80,2.00,2.25,1.50,1.00,2.00,2.00,1.60,2.00,2.60,2.20,1.88,1.29,1.40,2.00,1.57,2.05,1.72
Facebook,Smartphones,5,5,4,3,5,4,5,5,2,2,1,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,1,1,1,2,2,1,1,3,1,2,3,3,1,3,1,2,3,3,3,2,2,1,2,3,2,2,1,1,3,3,3,2,3,1,2,2,1,2,2,1,2,3,2,3,2,1,3,2,1,2,2,3,1,1,1,1,1,2,2,2,2,1,3,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,3,1,3,7,3,Male,4,3,Employed part time (up to 39 hours per week),Never married,1.56,1.71,1.57,1.57,1.85,2.06,1.44,2.00,2.30,1.40,1.60,1.75,1.75,1.60,1.40,1.50,2.00,2.00,2.75,2.00,2.00,2.20,2.00,1.60,2.20,2.00,1.40,1.75,1.29,1.60,2.00,1.61,1.83,1.93
Facebook,Smartphones,5,5,5,5,5,5,5,5,1,2,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,2,3,3,2,3,3,3,2,3,3,3,1,2,1,2,3,3,2,3,3,3,1,2,3,2,2,1,2,1,3,3,2,1,1,2,2,2,3,1,1,1,3,3,2,1,1,3,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,3,2,7,3,Male,1,3,Student,Never married,1.33,1.43,1.43,2.29,1.92,2.00,1.22,1.90,2.40,1.40,1.20,1.50,1.50,1.40,1.40,1.00,1.60,2.20,2.75,2.50,1.50,2.60,2.40,1.60,2.00,2.00,2.00,1.50,1.57,1.60,2.20,1.40,2.02,1.86
Facebook,Smartphones,5,5,5,5,4,4,5,4,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,3,3,1,1,3,2,3,3,1,3,2,2,3,2,3,3,3,1,1,1,1,1,1,1,3,2,2,1,3,3,3,3,1,1,3,1,3,3,3,1,1,3,3,3,1,2,3,3,3,1,3,3,2,3,2,1,3,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,3,2,4,2,Male,4,5,Employed part time (up to 39 hours per week),Married,1.44,1.57,1.29,1.00,2.23,2.47,1.44,2.30,2.10,1.40,1.60,1.50,1.25,1.40,1.20,1.75,2.20,2.40,2.25,2.50,1.00,1.40,2.20,2.20,2.20,2.20,2.40,2.25,1.43,1.60,2.00,1.43,2.00,1.97
Facebook,Smartphones,5,5,5,5,5,4,5,5,2,2,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,1,1,2,3,2,2,2,2,2,3,3,1,3,1,3,3,2,2,3,2,1,2,3,1,2,1,3,3,2,3,3,3,1,3,3,1,1,3,2,3,1,1,1,1,3,2,3,3,2,3,3,1,3,3,2,2,2,2,2,1,3,2,2,1,1,2,1,2,1,1,1,2,1,3,1,1,1,2,7,3,Male,0,2,Student,Never married,1.67,1.14,1.29,1.71,2.15,2.24,1.56,2.30,2.20,1.80,1.40,1.25,1.25,1.20,1.80,1.25,2.20,2.40,2.25,2.00,2.50,2.00,2.40,2.20,1.60,2.40,2.40,2.13,1.57,1.20,1.60,1.37,2.07,2.03
Facebook,Smartphones,5,5,5,5,5,5,5,5,1,1,2,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,3,3,3,3,1,3,1,3,3,3,3,2,3,2,3,1,3,3,1,2,1,3,1,3,1,1,2,1,2,3,2,1,2,1,2,2,1,3,2,1,1,1,2,2,1,1,2,3,2,2,2,1,3,2,3,3,2,2,1,1,1,1,1,2,2,2,1,2,2,1,3,2,3,6,3,Male,3,4,Employed part time (up to 39 hours per week),Never married,1.67,1.29,1.71,1.57,1.77,1.94,1.33,2.20,2.60,1.60,1.60,1.50,1.50,1.60,1.40,1.25,2.20,2.20,2.75,2.25,3.00,1.60,1.60,2.00,1.80,1.40,1.80,2.25,1.29,1.80,2.20,1.56,1.80,2.07
Line,Tablets,5,5,5,5,5,5,5,5,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,1,1,2,3,3,3,2,2,3,2,3,3,3,2,3,1,3,3,3,2,2,1,2,1,3,3,1,1,2,1,1,2,2,3,3,3,2,3,2,3,1,2,3,2,2,2,3,2,3,1,1,1,3,3,3,3,1,1,1,2,1,2,2,1,1,2,2,1,2,1,1,1,1,7,3,Male,4,5,Employed Full Time (40 or more hours per week),Married,1.56,1.71,1.57,2.43,2.23,1.88,1.33,2.10,2.60,1.60,1.60,1.75,1.25,1.80,1.40,1.25,1.60,2.60,2.75,2.25,3.00,2.00,1.80,1.60,2.80,2.20,2.20,2.25,1.43,1.40,1.20,1.61,2.21,2.03
Youtube,Smartphones,5,4,4,4,5,4,5,4,1,1,1,2,1,2,2,2,2,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,1,3,2,2,2,2,2,1,3,1,2,1,2,3,1,2,1,2,2,3,1,1,2,1,2,1,3,1,2,3,3,2,2,2,1,2,3,1,3,3,2,1,2,2,1,3,3,2,1,1,2,3,2,3,3,2,1,1,2,2,2,2,2,1,1,2,1,1,3,3,3,1,2,1,Male,2,4,Employed part time (up to 39 hours per week),Never married,1.56,1.43,1.71,2.43,2.23,1.71,1.56,1.80,1.70,1.20,1.80,1.50,1.50,1.80,1.40,1.75,1.60,2.00,1.75,1.75,1.50,1.80,1.80,2.20,2.00,2.00,2.20,2.13,1.71,1.40,2.20,1.57,2.16,1.69
Youtube,Smartphones,5,5,5,5,5,5,5,5,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,3,3,1,3,1,1,1,1,1,1,2,1,1,3,2,1,3,3,3,1,2,3,1,1,1,2,2,2,1,2,2,2,2,3,2,2,2,2,3,1,3,1,2,2,2,3,2,1,3,2,2,1,2,3,1,2,2,2,2,1,2,1,1,2,2,1,3,1,2,1,2,2,1,Female,4,4,Student,Never married,1.44,1.29,1.71,2.43,1.92,1.94,1.44,1.80,1.40,1.80,1.00,1.50,1.25,1.80,1.60,1.25,1.80,1.80,1.00,1.75,1.50,2.40,1.60,1.80,2.20,2.20,2.00,2.00,1.71,1.40,1.80,1.48,2.08,1.55
Line,Smartphones,5,5,5,4,4,3,5,3,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,3,2,1,2,2,3,1,3,2,1,1,3,1,2,1,1,3,3,2,2,3,1,1,3,2,3,3,3,3,1,1,3,2,3,3,1,2,1,2,3,3,2,3,3,1,2,1,1,1,3,1,1,2,2,1,2,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,4,2,Female,5,4,Employed Full Time (40 or more hours per week),Married,1.56,1.43,1.14,1.86,1.92,2.06,1.78,2.00,1.80,1.60,1.60,1.50,1.25,1.00,1.80,1.75,2.20,1.80,1.75,1.75,2.00,2.20,2.40,2.20,2.20,2.20,2.00,1.50,1.43,1.80,1.20,1.38,1.87,1.86
TikTok,Computers,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,2,2,2,3,1,3,3,1,3,1,1,1,1,1,3,1,2,2,2,3,3,2,3,2,3,1,2,1,2,3,2,3,3,2,3,1,1,1,2,2,2,3,3,2,3,2,2,2,3,2,3,2,2,2,3,3,1,3,3,1,3,1,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,2,4,2,Female,7,6,Self-employed,Divorced,1.56,1.71,1.57,2.00,2.46,2.12,1.67,1.80,2.20,1.80,1.40,1.75,1.50,1.60,1.40,2.00,2.20,1.40,1.75,2.50,2.50,1.80,2.60,1.60,2.40,2.20,2.40,2.38,1.43,1.60,1.40,1.61,2.24,1.90
Instagram,Smartphones,5,4,5,5,4,2,4,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,1,1,1,1,3,3,3,2,2,3,2,3,2,1,1,1,3,1,3,1,1,3,1,2,3,1,1,3,2,2,2,3,3,3,2,1,2,1,2,3,3,2,1,1,3,3,1,3,1,1,2,3,3,3,3,2,3,1,2,1,2,1,2,1,2,2,1,1,1,2,1,2,2,3,3,2,3,1,Female,4,5,Self-employed,Never married,1.67,1.14,1.57,2.14,1.92,2.35,1.56,2.10,1.70,1.80,1.40,1.25,1.25,1.60,1.60,1.50,1.80,2.40,1.75,2.00,1.00,2.00,2.00,2.40,2.20,2.00,1.60,2.50,1.57,1.20,2.40,1.46,2.07,1.79
Facebook,Smartphones,5,5,5,5,5,4,5,5,1,1,1,2,1,2,2,2,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,2,2,1,1,1,1,2,3,3,3,1,2,3,2,2,3,3,3,3,1,3,1,2,2,1,2,3,3,3,2,3,2,2,2,3,3,1,2,1,1,2,1,2,2,2,1,1,1,2,3,3,3,1,1,2,3,3,2,2,1,3,3,1,2,1,2,1,1,1,2,2,2,2,1,1,1,1,3,3,2,2,1,Female,0,2,Student,Never married,1.44,1.43,1.43,2.29,1.69,2.24,1.56,2.20,2.20,1.20,1.80,1.25,1.50,1.40,1.80,1.25,2.40,2.00,3.00,1.75,1.50,2.60,2.40,1.60,1.80,1.60,2.00,2.25,1.43,1.60,2.00,1.43,1.97,2.00
Line,Tablets,5,5,5,5,5,5,5,5,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,3,2,3,3,3,3,3,2,2,3,2,3,2,2,2,1,2,1,2,3,2,2,1,1,3,1,2,3,1,1,3,1,3,2,2,3,1,3,2,2,1,2,1,1,2,1,3,2,3,2,3,3,3,2,2,1,2,3,2,2,1,1,1,2,1,2,1,2,2,2,1,1,3,2,2,3,1,Female,4,5,Employed Full Time (40 or more hours per week),Married,1.44,1.57,2.00,1.86,1.85,2.12,1.67,2.70,2.00,1.40,1.40,1.50,2.00,2.00,1.40,2.00,2.80,2.60,2.25,1.50,2.50,1.80,1.60,2.20,2.20,1.40,2.20,2.38,1.43,1.80,1.80,1.67,1.95,2.14
Facebook,Smartphones,5,5,5,5,5,5,5,5,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,3,3,2,2,2,1,2,3,1,3,1,3,1,2,1,3,2,2,2,1,1,3,2,3,2,1,3,2,2,1,3,1,3,1,2,1,1,2,3,1,2,3,3,3,2,2,1,2,1,2,3,3,1,1,3,3,2,1,1,1,2,2,1,1,2,2,2,2,3,1,2,2,2,3,1,Female,1,3,Student,Never married,1.22,1.71,1.43,1.29,2.15,2.18,1.33,2.20,1.90,1.40,1.20,1.50,1.75,1.40,1.20,1.50,2.40,2.00,2.00,1.75,2.00,1.80,2.20,2.00,1.40,2.40,2.00,2.13,1.43,1.80,2.00,1.46,1.97,1.83
Instagram,Smartphones,5,5,5,5,4,4,5,4,1,1,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,1,1,1,3,3,2,3,1,3,3,2,2,3,1,3,3,3,2,2,2,3,1,1,2,1,2,2,2,3,1,2,3,1,1,1,3,1,3,1,2,2,1,1,3,2,2,3,3,1,2,1,3,1,3,1,2,3,3,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,1,3,3,4,2,Male,4,5,Employed part time (up to 39 hours per week),Married,1.44,1.29,1.29,1.43,1.77,1.94,1.56,2.20,2.40,1.40,1.60,1.25,1.00,1.40,1.60,1.50,2.00,2.40,2.25,2.50,2.50,1.40,2.00,1.80,1.80,1.80,2.00,2.13,1.43,1.60,2.00,1.34,1.71,2.07
Twitter,Tablets,5,5,5,5,5,5,5,5,1,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,3,3,1,3,1,1,2,2,1,3,1,2,1,3,3,1,2,1,1,1,3,1,2,2,3,2,2,2,1,3,3,2,3,2,1,3,2,2,2,3,1,1,1,1,2,3,2,3,1,1,2,1,1,3,1,1,2,2,1,2,2,1,2,2,2,1,2,1,1,3,1,2,1,1,3,1,Male,4,5,Employed Full Time (40 or more hours per week),Married,1.78,1.43,1.00,1.57,1.77,2.00,1.56,1.80,1.80,1.80,1.60,1.50,1.25,1.00,1.60,1.50,2.20,1.40,1.75,2.25,1.00,1.80,2.00,2.60,2.00,1.40,2.20,1.50,1.71,1.40,1.60,1.40,1.78,1.72
Twitter,Smartphones,5,5,5,4,4,3,5,3,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,3,1,2,2,2,1,1,2,1,2,1,1,2,1,3,2,2,1,2,1,2,1,3,1,2,2,1,1,2,2,1,1,3,2,3,2,2,1,2,3,2,3,3,3,2,2,2,3,1,3,3,2,3,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,3,3,1,2,4,2,Male,5,4,Employed Full Time (40 or more hours per week),Married,1.44,1.29,1.57,1.86,1.85,2.18,1.33,1.60,1.70,1.40,1.60,1.25,1.50,1.40,1.60,1.00,1.80,1.40,1.50,2.00,1.50,1.60,1.60,1.80,2.00,2.80,2.00,2.00,1.43,1.60,2.20,1.43,1.91,1.55
Youtube,Smartphones,5,5,5,5,4,5,5,5,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,3,1,2,2,1,2,2,3,1,1,3,2,3,2,3,2,2,3,3,1,2,3,2,1,2,3,3,3,1,1,2,1,2,3,2,1,1,2,1,2,3,3,1,1,2,1,2,1,2,1,3,1,2,1,1,3,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,3,1,Male,5,4,Self-employed,Never married,1.22,1.29,1.43,1.86,2.15,1.47,1.33,1.90,2.40,1.20,1.20,1.25,1.50,1.40,1.40,1.25,2.00,1.80,2.25,2.25,3.00,1.80,2.40,1.80,1.40,2.00,1.60,1.63,1.71,1.20,1.80,1.31,1.88,1.90
